set_code;set_name;card_number;card_name;color
OGN;Origins (Main Set);127;Cannon Barrage;O
OGN;Origins (Main Set);128;Challenge;O
OGN;Origins (Main Set);129;Confront;O
OGN;Origins (Main Set);130;Crackshot Corsair;O
OGN;Origins (Main Set);131;Dune Drake;O
OGN;Origins (Main Set);132;First Mate;O
OGN;Origins (Main Set);133;Flurry of Blades;O
OGN;Origins (Main Set);134;Mobilize;O
OGN;Origins (Main Set);135;Pakaa Cub;O
OGN;Origins (Main Set);136;Pit Rookie;O
OGN;Origins (Main Set);137;Stormclaw Ursine;O
OGN;Origins (Main Set);138;Catalyst of Aeons;O
OGN;Origins (Main Set);139;Cithria of Cloudfield;O
OGN;Origins (Main Set);140;Herald of Scales;O
OGN;Origins (Main Set);141;Kinkou Monk;O
OGN;Origins (Main Set);142;Mountain Drake;O
OGN;Origins (Main Set);143;Pirate's Haven;O
OGN;Origins (Main Set);144;Spoils of War;O
OGN;Origins (Main Set);145;Unyielding Spirit;O
OGN;Origins (Main Set);146;Wallop;O
OGN;Origins (Main Set);147;Wildclaw Shaman;O
OGN;Origins (Main Set);148;Anivia - Primal;O
OGN;Origins (Main Set);149;Carnivorous Snapvine;O
OGN;Origins (Main Set);150;Kraken Hunter;O
OGN;Origins (Main Set);151;Lee Sin - Centered;O
OGN;Origins (Main Set);152;Mistfall;O
OGN;Origins (Main Set);153;Overt Operation;O
OGN;Origins (Main Set);154;Primal Strength;O
OGN;Origins (Main Set);155;Qiyana - Victorious;O
OGN;Origins (Main Set);156;Sabotage;O
OGN;Origins (Main Set);157;Udyr - Wildman;O
OGN;Origins (Main Set);158;Volibear - Imposing;O
OGN;Origins (Main Set);159;Warwick - Hunter;O
OGN;Origins (Main Set);160;Dazzling Aurora;O
OGN;Origins (Main Set);161;Deadbloom Predator;O
OGN;Origins (Main Set);162;Miss Fortune - Captain;O
OGN;Origins (Main Set);163;Seal of Strength;O
OGN;Origins (Main Set);164;Sett - Brawler;O
OGN;Origins (Main Set);165;Cemetery Attendant;P
OGN;Origins (Main Set);166;Chaos Rune;P
OGN;Origins (Main Set);167;Ember Monk;P
OGN;Origins (Main Set);168;Fight or Flight;P
OGN;Origins (Main Set);169;Gust;P
OGN;Origins (Main Set);170;Morbid Return;P
OGN;Origins (Main Set);171;Mystic Poro;P
OGN;Origins (Main Set);172;Rebuke;P
OGN;Origins (Main Set);173;Ride The Wind;P
OGN;Origins (Main Set);174;Sai Scout;P
OGN;Origins (Main Set);175;Shipyard Skulker;P
OGN;Origins (Main Set);176;Sneaky Deckhand;P
OGN;Origins (Main Set);177;Stealthy Pursuer;P
OGN;Origins (Main Set);178;Undercover Agent;P
OGN;Origins (Main Set);179;Acceptable Losses;P
OGN;Origins (Main Set);180;Fading Memories;P
OGN;Origins (Main Set);182;Scrapheap;P
OGN;Origins (Main Set);183;Stacked Deck;P
OGN;Origins (Main Set);184;The Syren;P
OGN;Origins (Main Set);185;Traveling Merchant;P
OGN;Origins (Main Set);186;Treasure Trove;P
OGN;Origins (Main Set);187;Whirlwind;P
OGN;Origins (Main Set);188;Zaunite Bouncer;P
OGN;Origins (Main Set);189;Kayn - Unleashed;P
OGN;Origins (Main Set);190;Kog'Maw - Caustic;P
OGN;Origins (Main Set);191;Maddened Marauder;P
OGN;Origins (Main Set);192;Mindsplitter;P
OGN;Origins (Main Set);193;Miss Fortune - Buccaneer;P
OGN;Origins (Main Set);194;Nocturne - Horrifying;P
OGN;Origins (Main Set);195;Rhasa the Sunderer;P
OGN;Origins (Main Set);196;Soulgorger;P
OGN;Origins (Main Set);197;Teemo - Scout;P
OGN;Origins (Main Set);198;The Harrowing;P
OGN;Origins (Main Set);199;Tideturner;P
OGN;Origins (Main Set);200;Twisted Fate - Gambler;P
OGN;Origins (Main Set);201;Invert Timeline;P
OGN;Origins (Main Set);202;Jinx - Rebel;P
OGN;Origins (Main Set);203;Possession;P
OGN;Origins (Main Set);204;Seal of Discord;P
OGN;Origins (Main Set);205;Yasuo - Windrider;P
OGN;Origins (Main Set);206;Back to Back;Y
OGN;Origins (Main Set);207;Call to Glory;Y
OGN;Origins (Main Set);208;Cruel Patron;Y
OGN;Origins (Main Set);209;Cull the Weak;Y
OGN;Origins (Main Set);210;Daring Poro;Y
OGN;Origins (Main Set);211;Faithful Manufactor;Y
OGN;Origins (Main Set);212;Forge of the Future;Y
OGN;Origins (Main Set);213;Hidden Blade;Y
OGN;Origins (Main Set);214;Order Rune;Y
OGN;Origins (Main Set);215;Petty Officer;Y
OGN;Origins (Main Set);216;Soaring Scout;Y
OGN;Origins (Main Set);217;Trifarian Gloryseeker;Y
OGN;Origins (Main Set);218;Vanguard Captain;Y
OGN;Origins (Main Set);219;Vanguard Sergeant;Y
OGN;Origins (Main Set);220;Facebreaker;Y
OGN;Origins (Main Set);221;Imperial Decree;Y
OGN;Origins (Main Set);222;Noxian Drummer;Y
OGN;Origins (Main Set);223;Peak Guardian;Y
OGN;Origins (Main Set);224;Salvage;Y
OGN;Origins (Main Set);225;Solari Chief;Y
OGN;Origins (Main Set);226;Spectral Matron;Y
OGN;Origins (Main Set);227;Symbol of the Solari;Y
OGN;Origins (Main Set);228;Vanguard Helm;Y
OGN;Origins (Main Set);229;Vengeance;Y
OGN;Origins (Main Set);230;Albus Ferros;Y
OGN;Origins (Main Set);231;Commander Ledros;Y
OGN;Origins (Main Set);232;Fiora - Victorious;Y
OGN;Origins (Main Set);233;Grand Strategem;Y
OGN;Origins (Main Set);234;Harnessed Dragon;Y
OGN;Origins (Main Set);235;Karma - Channeler;Y
OGN;Origins (Main Set);236;Karthus - Eternal;Y
OGN;Origins (Main Set);237;King's Edict;Y
OGN;Origins (Main Set);238;Leona - Determined;Y
OGN;Origins (Main Set);239;Machine Evangel;Y
OGN;Origins (Main Set);240;Sett - Kingpin;Y
OGN;Origins (Main Set);241;Shen - Kinkou;Y
OGN;Origins (Main Set);242;Baited Hook;Y
OGN;Origins (Main Set);243;Darius - Executioner;Y
OGN;Origins (Main Set);244;Divine Judgment;Y
OGN;Origins (Main Set);245;Seal of Unity;Y
OGN;Origins (Main Set);246;Viktor - Leader;M
OGN;Origins (Main Set);247;Kai'Sa - Daughter of the Void;M
OGN;Origins (Main Set);248;Icathian Rain;M
OGN;Origins (Main Set);249;Volibear - Relentless Storm;M
OGN;Origins (Main Set);250;Stormbringer;M
OGN;Origins (Main Set);251;Jinx - Loose Cannon;M
OGN;Origins (Main Set);252;Super Mega Death Rocket!;M
OGN;Origins (Main Set);253;Darius - Hand of Noxus;M
OGN;Origins (Main Set);254;Noxian Guillotine;M
OGN;Origins (Main Set);255;Ahri - Nine-Tailed Fox;M
OGN;Origins (Main Set);256;Fox-Fire;M
OGN;Origins (Main Set);257;Lee Sin - Blind Monk;M
OGN;Origins (Main Set);258;Dragon's Rage;M
OGN;Origins (Main Set);259;Yasuo - Unforgiven;M
OGN;Origins (Main Set);260;Last Breath;M
OGN;Origins (Main Set);261;Leona - Radiant Dawn;M
OGN;Origins (Main Set);262;Zenith Blade;M
OGN;Origins (Main Set);263;Teemo - Swift Scout;M
OGN;Origins (Main Set);264;Guerilla Warfare;M
OGN;Origins (Main Set);265;Viktor - Herald of the Arcane;M
OGN;Origins (Main Set);266;Siphon Power;M
OGN;Origins (Main Set);267;Miss Fortune - Bounty Hunter;M
OGN;Origins (Main Set);268;Bullet Time;M
OGN;Origins (Main Set);269;Sett - The Boss;M
OGN;Origins (Main Set);270;Showstopper;M
OGN;Origins (Main Set);275;Altar to Unity;U
OGN;Origins (Main Set);276;Aspirant's Climb;U
OGN;Origins (Main Set);277;Back-Alley Bar;U
OGN;Origins (Main Set);278;Bandle Tree;U
OGN;Origins (Main Set);279;Fortified Position;U
OGN;Origins (Main Set);280;Grove of the God-Willow;U
OGN;Origins (Main Set);281;Hallowed Tomb;U
OGN;Origins (Main Set);282;Monastery of Hirana;U
OGN;Origins (Main Set);283;Navori Fighting Pit;U
OGN;Origins (Main Set);284;Obelisk of Power;U
OGN;Origins (Main Set);285;Reaver's Row;U
OGN;Origins (Main Set);286;Reckoner's Arena;U
OGN;Origins (Main Set);287;Sigil of the Storm;U
OGN;Origins (Main Set);288;Startipped Peak;U
OGN;Origins (Main Set);289;Targon's Peak;U
OGN;Origins (Main Set);290;The Arena's Greatest;U
OGN;Origins (Main Set);291;The Candlelit Sanctum;U
OGN;Origins (Main Set);292;The Dreaming Tree;U
OGN;Origins (Main Set);293;The Grand Plaza;U
OGN;Origins (Main Set);294;Trifarian War Camp;U
OGN;Origins (Main Set);295;Vilemaw's Lair;U
OGN;Origins (Main Set);296;Void Gate;U
OGN;Origins (Main Set);297;Windswept Hillock;U
OGN;Origins (Main Set);298;Zaun Warrens;U
OGN;Origins (Main Set);299;Kai'Sa - Daughter of the Void;M
OGN;Origins (Main Set);300;Volibear - Relentless Storm;M
OGN;Origins (Main Set);301;Jinx - Loose Cannon;M
OGN;Origins (Main Set);302;Darius - Hand of Noxus;M
OGN;Origins (Main Set);303;Ahri - Nine-Tailed Fox;M
OGN;Origins (Main Set);304;Lee Sin - Blind Monk;M
OGN;Origins (Main Set);305;Yasuo - Unforgiven;M
OGN;Origins (Main Set);306;Leona - Radiant Dawn;M
OGN;Origins (Main Set);307;Teemo - Swift Scout;M
OGN;Origins (Main Set);308;Viktor - Herald of the Arcane;M
OGN;Origins (Main Set);309;Miss Fortune - Bounty Hunter;M
OGN;Origins (Main Set);310;Sett - The Boss;M
OGS;Origins: Proving Grounds;1;Annie - Fiery;R
OGS;Origins: Proving Grounds;2;Firestorm;R
OGS;Origins: Proving Grounds;3;Incinerate;R
OGS;Origins: Proving Grounds;4;Master Yi - Meditative;G
OGS;Origins: Proving Grounds;5;Zephyr Sage;G
OGS;Origins: Proving Grounds;6;Lux - Illuminated;B
OGS;Origins: Proving Grounds;7;Garen - Rugged;O
OGS;Origins: Proving Grounds;8;Gentlemen's Duel;O
OGS;Origins: Proving Grounds;9;Master Yi - Honed;O
OGS;Origins: Proving Grounds;10;Annie - Stubborn;P
OGS;Origins: Proving Grounds;11;Flash;P
OGS;Origins: Proving Grounds;12;Blast of Power;Y
OGS;Origins: Proving Grounds;13;Garen - Commander;Y
OGS;Origins: Proving Grounds;14;Lux - Crownguard;Y
OGS;Origins: Proving Grounds;15;Recruit the Vanguard;Y
OGS;Origins: Proving Grounds;16;Vanguard Attendant;Y
OGS;Origins: Proving Grounds;17;Annie - Dark Child;M
OGS;Origins: Proving Grounds;18;Tibbers;M
OGS;Origins: Proving Grounds;19;Master Yi - Wuju Bladesman;M
OGS;Origins: Proving Grounds;20;Highlander;M
OGS;Origins: Proving Grounds;21;Lux - Lady of Luminosity;M
OGS;Origins: Proving Grounds;22;Final Spark;M
OGS;Origins: Proving Grounds;23;Garen - Might of Demacia;M
OGS;Origins: Proving Grounds;24;Decisive Strike;M
